"","year","first_name","last_name","pos","weight","forty_yard","bench_press","vertical_jump","shuttle","sparq","draft","games","tfls","sacks","production_ratio"
"1",2012,"Jamie","Blatnick","DE",263,4.81,28,32.5,4.2,124.09,"8",25,19,13.5,1.3
"2",2012,"Nigel","Bradham","OLB",241,4.56,24,37,4.37,126.74,"4",27,15,7,0.81
"3",2012,"Andre","Branch","DE",259,4.67,19,32.5,4.25,118.41,"2",27,25.5,15.5,1.52
"4",2012,"Quinton","Coples","DE",284,4.69,25,31.5,4.78,111.8,"1",26,30.5,17.5,1.85
"5",2012,"Tyrone","Crawford","DE",275,4.82,28,33,4.44,119.94,"3",25,27,13.5,1.62
"6",2012,"Darius","Fleming","OLB",245,4.71,27,33.5,4.28,121.7,"5",26,17.5,9,1.02
"7",2012,"Melvin","Ingram","OLB",264,4.69,28,34.5,4.18,132.85,"1",27,26,19,1.67
"8",2012,"Bruce","Irvin","OLB",245,4.41,23,33.5,4.03,137.97,"1",26,29,22.5,1.98
"9",2012,"Malik","Jackson","DE",284,4.85,25,28,4.41,110.83,"5",25,22,7.5,1.18
"10",2012,"Jamaar","Jarrett","DE",265,4.96,21,30,4.34,103.88,"8",25,16,6.5,0.9
"11",2012,"Chandler","Jones","DE",266,4.77,22,35,4.38,119.15,"1",20,17,8.5,1.28
"12",2012,"Ronnell","Lewis","OLB",253,4.65,36,31,4.4,126.55,"4",21,18,9,1.29
"13",2012,"Brandon","Lindsey","OLB",254,4.85,23,33,4.28,114,"8",26,29,18.5,1.83
"14",2012,"Jonathan","Massaquoi","OLB",264,4.81,20,33.5,4.53,108.25,"5",25,31,19.5,2.02
"15",2012,"Shea","McClellin","OLB",260,4.62,19,31.5,4.33,116.43,"1",26,26,16.5,1.63
"16",2012,"Whitney","Mercilus","DE",261,4.68,27,32,4.53,116.59,"1",26,25.5,17,1.63
"17",2012,"Nick","Perry","DE",271,4.55,35,38.5,4.66,138.53,"1",24,20.5,13.5,1.42
"18",2012,"Derrick","Shelby","DE",266,4.87,26,35.5,4.5,116.33,"8",25,16.5,7,0.94
"19",2012,"Jacquies","Smith","DE",253,4.75,21,31.5,4.31,112.22,"8",17,14,7,1.24
"20",2012,"Scott","Solomon","DE",262,4.88,34,35,4.25,129.4,"7",24,24,15,1.63
"21",2012,"Nathan","Stupar","OLB",241,4.65,21,31,4.28,113.29,"7",26,12,4,0.62
"22",2012,"Olivier","Vernon","DE",261,4.73,31,34.5,4.5,123.45,"3",19,14,7.5,1.13
"23",2012,"Kyle","Wilber","OLB",249,4.73,25,33.5,4.31,119.08,"4",25,26,9.5,1.42
"24",2012,"Billy","Winn","DE",294,4.86,24,27,4.44,109.37,"6",26,17.5,7.5,0.96
"25",2011,"Sam","Acho","OLB",262,4.67,23,33.5,4.32,122.34,"8",26,28.5,17,1.75
"26",2011,"Akeem","Ayers","OLB",254,4.81,18,31,4.28,107.49,"2",25,24.5,10,1.38
"27",2011,"Allen","Bailey","DE",285,4.71,27,36.5,4.56,127.77,"3",26,22,14,1.38
"28",2011,"Brandon","Bair","DE",276,4.92,26,28,4.37,108.47,"8",26,24.5,5,1.13
"29",2011,"Ugo","Chinasa","DE",264,4.63,22,28,4.39,112.19,"8",26,15,10.5,0.98
"30",2011,"Ricky","Elmore","DE",255,4.88,26,31.5,4.32,112.21,"6",26,24.5,21.5,1.77
"31",2011,"Mason","Foster","OLB",245,4.75,22,31,4.45,106.09,"8",25,21.5,8.5,1.2
"32",2011,"Ross","Homan","OLB",240,4.66,32,35.5,4.34,128.55,"6",24,7,3,0.42
"33",2011,"Justin","Houston","OLB",270,4.62,30,36.5,4.37,136.2,"3",23,33.5,17.5,2.22
"34",2011,"Cameron","Jordan","DE",287,4.74,25,31,4.37,121.89,"1",25,22,11.5,1.34
"35",2011,"Ryan","Kerrigan","DE",267,4.67,31,33.5,4.39,128.9,"1",24,44.5,25.5,2.92
"36",2011,"Cliff","Matthews","DE",257,4.81,17,32,4.37,106.12,"7",26,18.5,12.5,1.19
"37",2011,"Pernell","McPhee","DE",278,4.91,20,28.5,4.59,97.88,"5",25,22,7,1.16
"38",2011,"Von","Miller","OLB",246,4.42,21,37,4.06,140.7,"1",26,39,27.5,2.56
"39",2011,"Dontay","Moch","OLB",248,4.4,21,42,4.38,140.03,"3",27,42,15,2.11
"40",2011,"Cheta","Ozougwu","DE",247,4.84,26,34.5,4.31,117.03,"7",24,16.5,7.5,1
"41",2011,"Robert","Quinn","DE",265,4.62,22,34,4.4,122.42,"1",25,25.5,13,1.54
"42",2011,"Brooks","Reed","OLB",263,4.65,30,30.5,4.28,126.24,"2",23,15,8.5,1.02
"43",2011,"D'Aundre","Reed","DE",261,4.84,30,35.5,4.32,125.51,"7",26,8.5,4.5,0.5
"44",2011,"Aldon","Smith","DE",263,4.74,20,34,4.5,112.39,"1",23,23,14.5,1.63
"45",2011,"J.J.","Watt","DE",290,4.81,34,37,4.21,143.36,"1",26,36.5,11.5,1.85
"46",2011,"Markus","White","DE",266,4.86,14,32.5,4.51,100.17,"8",27,23,10,1.22
"47",2011,"Ryan","Winterswyk","DE",268,4.96,18,30,4.37,100.86,"8",27,26,10.5,1.35
"48",2010,"Tyson","Alualu","DE",295,4.87,21,35.5,4.43,120.76,"1",26,22.5,13.5,1.38
"49",2010,"Kevin","Basped","DE",258,4.75,26,29,4.88,97.24,"8",25,31,19.5,2.02
"50",2010,"Navorro","Bowman","OLB",242,4.7,26,29.5,4.59,104.38,"3",24,33.5,7,1.69
"51",2010,"Kavell","Conner","OLB",242,4.59,24,33.5,4.6,113.1,"7",27,12.5,3,0.57
"52",2010,"Carlos","Dunlap","DE",278,4.68,21,31.5,4.61,111.87,"2",27,24,18.5,1.57
"53",2010,"A.J.","Edds","OLB",246,4.62,16,33,4.28,114.27,"8",26,8.5,2,0.4
"54",2010,"Junior","Galette","OLB",257,4.77,25,33.5,4.16,124.27,"8",22,21.5,15,1.66
"55",2010,"Thaddeus","Gibson","OLB",243,4.78,32,32,4.27,121.09,"4",26,22,9,1.19
"56",2010,"Greg","Hardy","DE",281,4.82,21,35,4.65,111.87,"6",18,16,13.5,1.64
"57",2010,"Jerry","Hughes","OLB",255,4.65,26,34.5,4.15,131.31,"1",26,36,26.5,2.4
"58",2010,"Sergio","Kindle","OLB",250,4.65,25,36.5,4.53,120.64,"8",27,27.5,16,1.61
"59",2010,"Jammie","Kirlew","DE",260,5.05,26,33,4.74,97.18,"7",24,35,17,2.17
"60",2010,"Brandon","Lang","DE",266,5,20,28.5,4.68,89.07,"8",26,31.5,20,1.98
"61",2010,"Arthur","Moats","OLB",246,4.64,24,36.5,4.37,123.98,"6",25,39,22.5,2.46
"62",2010,"Roddrick","Muckelroy","OLB",246,4.68,19,31,4.39,108.03,"4",26,12.5,2,0.56
"63",2010,"Jason","Pierre-Paul","DE",270,4.71,19,30.5,4.67,103.5,"1",26,25.5,8.5,1.31
"64",2010,"Ricky","Sapp","OLB",252,4.65,23,34,4.41,118.74,"5",24,23.5,7.5,1.29
"65",2010,"George","Selvie","DE",252,4.93,24,30.5,4.63,96.75,"7",25,22.5,8.5,1.24
"66",2010,"Daniel","Te'o-Nesheim","DE",263,4.73,29,37,4.18,136.14,"3",24,24.5,18,1.77
"67",2010,"Lindsey","Witten","DE",250,4.7,23,36.5,4.62,114.17,"8",24,19,16.5,1.48
"68",2010,"Jason","Worilds","OLB",254,4.65,24,38,4.29,130.5,"2",26,29.5,12.5,1.62
"69",2009,"Robert","Ayers","DE",272,4.77,18,29.5,4.51,103.81,"1",26,27.5,7,1.33
"70",2009,"Connor","Barwin","OLB",256,4.59,21,40.5,4.18,138.14,"2",26,14.5,11,0.98
"71",2009,"Everette","Brown","DE",256,4.65,26,31.5,4.53,114.78,"2",26,33,20,2.04
"72",2009,"Victor","Butler","OLB",248,4.76,24,33,4.4,113.14,"4",26,34,22.5,2.17
"73",2009,"Aaron","Curry","OLB",254,4.52,25,37,4.51,128.16,"1",26,29.5,5.5,1.35
"74",2009,"Brian","Cushing","OLB",243,4.64,30,35,4.22,131.13,"1",23,13,4,0.74
"75",2009,"Pannel","Egboh","DE",276,4.9,26,31.5,4.4,114.07,"8",24,18,7.5,1.06
"76",2009,"Larry","English","OLB",255,4.82,24,36,4.38,118.14,"1",25,31.5,18.5,2
"77",2009,"Maurice","Evans","DE",274,5,17,29,4.57,92.22,"8",23,26,15.5,1.8
"78",2009,"Jarron","Gilbert","DE",288,4.81,28,35.5,4.56,123.98,"3",24,29.5,13.5,1.79
"79",2009,"Tim","Jamison","DE",256,5.07,21,30,4.6,89.89,"8",25,20.5,11,1.26
"80",2009,"Paul","Kruger","DE",263,4.83,24,32.5,4.47,111.17,"2",26,24,10.5,1.33
"81",2009,"Orion","Martin","DE",262,4.81,24,32,4.63,106.11,"8",28,23.5,14,1.34
"82",2009,"Clay","Matthews","OLB",240,4.62,23,35.5,4.18,126.72,"1",26,12,4.5,0.63
"83",2009,"Aaron","Maybin","DE",249,4.78,22,38,4.38,119.62,"1",26,24.5,16,1.56
"84",2009,"Zach","Potter","DE",279,4.9,20,31,4.48,105.89,"8",25,21.5,8,1.18
"85",2009,"Stryker","Sulak","DE",251,4.63,22,31,4.58,108.28,"8",28,26.5,16.5,1.54
"86",2009,"David","Veikune","DE",257,4.79,35,33,4.46,122.69,"2",27,25,16,1.52
"87",2009,"Jarius","Wynn","DE",275,5.01,19,31.5,4.58,97.82,"6",26,5,4,0.35
"88",2008,"Cliff","Avril","OLB",253,4.51,27,32.5,4.51,122.77,"3",27,30,12.5,1.57
"89",2008,"Calais","Campbell","DE",290,5.04,16,29.5,4.69,91.04,"2",25,33,17,2
"90",2008,"Joe","Clermond","DE",249,5.15,20,25.5,4.73,73.23,"8",24,29.5,16,1.9
"91",2008,"Shawn","Crable","OLB",245,4.61,29,28,4.55,110.13,"3",26,40.5,13.5,2.08
"92",2008,"Curtis","Gatewood","OLB",248,4.72,22,28.5,4.22,110.99,"8",24,15,10.5,1.06
"93",2008,"Jeremy","Geathers","DE",256,4.96,29,28,4.49,101.34,"8",23,16,11,1.17
"94",2008,"Vernon","Gholston","DE",266,4.65,37,35.5,4.4,138.07,"1",26,30.5,22.5,2.04
"95",2008,"Quentin","Groves","OLB",259,4.53,30,29.5,4.42,124,"2",24,19,12.5,1.31
"96",2008,"Gary","Guyton","OLB",245,4.47,15,36.5,4.42,120.5,"8",27,21.5,6,1.02
"97",2008,"Erin","Henderson","OLB",244,4.73,23,31,4.5,106.04,"8",25,17.5,2,0.78
"98",2008,"Mike","Humpal","OLB",244,4.82,20,31,4.25,107.53,"6",24,10.5,1,0.48
"99",2008,"Bryan","Kehl","OLB",242,4.67,26,34,4.23,123.99,"4",26,19.5,6.5,1
"100",2008,"Chase","Ortiz","DE",249,4.9,24,29.5,4.23,107.68,"8",26,27.5,11.5,1.5
"101",2008,"Dorian","Smith","DE",264,5.06,24,27.5,4.73,87.11,"8",23,21.5,14.5,1.57
"102",2007,"CJ","Ah","DE",274,4.7,26,36.5,4.4,129.38,"7",26,18.5,10.5,1.12
"103",2007,"Antwan","Barnes","OLB",240,4.43,31,35,4.32,136.56,"4",23,38,15.5,2.33
"104",2007,"Dan","Bazuin","DE",266,4.77,25,30,4.75,102.77,"8",24,41.5,26.5,2.83
"105",2007,"Larry","Birdine","DE",261,5.02,21,32,4.76,91.58,"8",27,22.5,13.5,1.33
"106",2007,"Quincy","Black","OLB",240,4.42,24,41.5,4.34,140.5,"3",24,4.5,1.5,0.25
"107",2007,"Stewart","Bradley","OLB",254,4.72,28,35.5,4.17,131.25,"3",20,9,4,0.65
"108",2007,"Adam","Carriker","DE",296,4.9,33,33.5,4.18,135.7,"1",26,28.5,16.5,1.73
"109",2007,"Jay","Moore","DE",274,4.92,26,34,4.35,118.52,"8",26,26,9,1.35
"110",2007,"Quentin","Moses","DE",261,4.82,17,32,4.53,101.86,"3",26,32.5,16,1.87
"111",2007,"Anthony","Spencer","DE",261,4.7,30,32.5,4.43,122.47,"1",25,32,12.5,1.78
"112",2007,"Abraham","Wright","DE",242,4.9,24,31,4.46,101.32,"8",25,21,17,1.52
"113",2006,"Jason","Hatcher","DE",284,4.82,28,35.5,4.5,124.43,"8",18,11,3.5,0.81
"114",2006,"Clint","Ingram","OLB",244,4.65,22,41,4.11,136.94,"3",26,16,7,0.88
"115",2006,"Stanley","McClover","DE",262,4.7,19,39,4.52,120.4,"7",24,24,13,1.54
"116",2006,"Mario","Williams","DE",295,4.7,35,40.5,4.37,150.44,"1",24,39.5,25.5,2.71
"117",2006,"James","Wyche","DE",262,4.63,33,33,4.51,126.66,"7",23,30.5,19,2.15
"118",2002,"Carlos","Hall","DE",259,4.67,20,40,4.19,133.65,"7",22,0,0,0
"119",2002,"John","Stamper","DE",265,4.98,24,36.5,4.22,120.49,"8",24,1,0,0.04
"120",2001,"Ross","Kolodziej","DE",290,4.87,25,34.5,4.36,123.81,"7",23,0,0,0
"121",2001,"Dwayne","Missouri","DE",258,5.03,21,38,4.4,111.02,"8",23,0,0,0
"122",1999,"Robert","Daniel","DE",281,5.04,24,28.5,4.86,89.92,"8",24,1,1,0.08
"123",1999,"Derrick","Ham","DE",257,4.91,24,28.5,4.54,98.04,"3",26,12,38,1.92
"124",1999,"Arnold","Miller","DE",240,4.77,12,33.5,4.12,109.25,"8",21,10,24,1.62
